"","id","accuracy","latitude","longitude","speed","time","average","max","created_at","seqNumber","min"
"1",4711,3,52.52996295,13.41774469,0,1466935668000,13,20,"2016-06-26T10:07:51.480Z",1308,9
"2",4712,3,52.52996295,13.41774469,0,1466935668000,14,20,"2016-06-26T10:07:51.490Z",1309,9
"3",4713,3,52.52996295,13.41774469,0,1466935668000,12,19,"2016-06-26T10:07:51.499Z",1310,5
"4",4714,3,52.52996295,13.41774469,0,1466935668000,17,32,"2016-06-26T10:07:51.507Z",1311,7
"5",4715,3,52.52996295,13.41774469,0,1466935668000,19,32,"2016-06-26T10:07:51.521Z",1312,13
"6",4716,3,52.52996295,13.41774469,0,1466935668000,15,27,"2016-06-26T10:07:51.529Z",1313,9
"7",4717,3,52.52996295,13.41774469,0,1466935668000,12,17,"2016-06-26T10:07:51.542Z",1314,9
"8",4718,3,52.52996295,13.41774469,0,1466935668000,15,23,"2016-06-26T10:07:51.553Z",1315,7
"9",4719,3,52.52996295,13.41774469,0,1466935668000,20,28,"2016-06-26T10:07:51.564Z",1316,13
"10",4720,3,52.52996295,13.41774469,0,1466935668000,14,20,"2016-06-26T10:07:51.573Z",1317,5
"11",4721,3,52.52996548,13.41776107,0.73,1466935674000,16,19,"2016-06-26T10:07:56.565Z",1318,13
"12",4722,3,52.52996548,13.41776107,0.73,1466935674000,13,24,"2016-06-26T10:07:56.572Z",1319,5
"13",4723,3,52.52996548,13.41776107,0.73,1466935674000,11,20,"2016-06-26T10:07:56.579Z",1320,3
"14",4724,3,52.52996548,13.41776107,0.73,1466935674000,12,17,"2016-06-26T10:07:56.586Z",1321,9
"15",4725,3,52.52996548,13.41776107,0.73,1466935674000,18,46,"2016-06-26T10:07:56.593Z",1322,7
"16",4726,3,52.52996548,13.41776107,0.73,1466935674000,17,24,"2016-06-26T10:07:56.600Z",1323,9
"17",4727,3,52.52996548,13.41776107,0.73,1466935674000,17,32,"2016-06-26T10:07:56.607Z",1324,11
"18",4728,3,52.52996548,13.41776107,0.73,1466935674000,14,20,"2016-06-26T10:07:56.613Z",1325,7
"19",4729,3,52.52996548,13.41776107,0.73,1466935674000,13,17,"2016-06-26T10:07:56.621Z",1326,7
"20",4730,3,52.52996548,13.41776107,0.73,1466935674000,15,20,"2016-06-26T10:07:56.628Z",1327,9
"21",4731,3,52.52999118,13.41776168,1.56,1466935676000,15,31,"2016-06-26T10:07:57.344Z",1328,5
"22",4732,3,52.52999118,13.41776168,1.56,1466935676000,16,24,"2016-06-26T10:07:57.355Z",1329,5
"23",4733,3,52.52999118,13.41776168,1.56,1466935676000,15,23,"2016-06-26T10:07:57.363Z",1330,7
"24",4734,3,52.52999118,13.41776168,1.56,1466935676000,11,19,"2016-06-26T10:07:57.378Z",1331,5
"25",4735,3,52.52999118,13.41776168,1.56,1466935676000,13,24,"2016-06-26T10:07:57.390Z",1332,7
